id;tipo;referencia;nombre;precio;iva;url
1;1;Algodón;Verde complejidad Buckinghamshire;20978;82185;http://josé.org
2;2;Facilitador Checking;open-source Práctico deposit;33378;71714;http://lucía.org
3;1;Camino Genérico Solar;virtual Juguetería back-end;16908;53648;http://beatriz.com
4;2;enterprise calculating;compress;43431;26383;http://ester.info
5;1;SSL Canarias;invoice Plástico innovative;95544;72186;http://timoteo.org
6;3;metódica real-time;de;28148;30693;http://luz.com
7;0;quantifying state Sabroso;circuit Cine;4338;82547;http://emilia.com.es
8;0;Berkshire Franc;Navarra terciaria generating;59275;18626;https://clemente.es
9;4;Coche Camiseta;previsión Personal;57160;32328;https://gilberto.com.es
10;1;group Checking;y solución European;98017;22743;http://maría soledad.info
